"","V5","V6","V7","Num"
"",35.5278, 105.651, 33.8798, 20
"",-27.0969, -108.371, 33.0731, 20
"",91.1403, -15.0724, -70.9826, 20
"",55.6531, -99.0267, -25.8591, 20
"",9.99153, -109.057, 39.7354, 20
"",-59.3032, -34.5731, -94.128, 20
"",-114.783, 19.6621, -3.242, 20
"",24.3725, 60.6222, -96.453, 20
"",96.0964, -51.6434, 40.8742, 20
"",-58.1602, 2.68689, -100.908, 20
"",106.478, 43.5832, 18.3082, 20
"",57.2293, -40.0394, -93.2411, 20
"",-115.68, -6.51003, 12.1668, 20
"",28.6995, -103.995, -43.9724, 20
"",-63.7228, 51.7777, -82.6482, 20
"",83.0218, -72.5872, 37.5597, 20
"",-115.406, -11.4378, -11.0815, 20
"",12.6939, 3.80423, -115.744, 20
"",-37.3424, -103.884, -37.229, 20
"",70.3626, 78.9059, -48.9408, 20
