"","V5","V6","V7","Num"
"",-83.9898, -22.7685, -77.4568, 30
"",-3.91115, 108.178, 43.0628, 30
"",-71.9271, -11.75, -90.8883, 30
"",108.11, -43.1883, -4.37763, 30
"",98.3138, -9.25536, -61.8141, 30
"",108.304, -31.5287, -29.1283, 30
"",-23.0972, -93.8434, -65.0552, 30
"",39.9144, -19.0795, -107.773, 30
"",24.9499, 113.263, 11.0091, 30
"",-64.3771, -96.2748, 12.61, 30
"",32.7099, 23.5789, -109.299, 30
"",17.0534, -114.893, 9.00795, 30
"",25.4699, 105.679, -41.8983, 30
"",5.57784, 68.9968, -93.7047, 30
"",-84.3567, 38.4834, -70.5353, 30
"",-99.5299, -3.40259, -60.4522, 30
"",52.8229, -67.6077, -78.8111, 30
"",108.302, -37.1407, 21.5272, 30
"",-101.644, 25.3544, 50.9706, 30
"",-93.4119, 69.3401, -6.19788, 30
"",-113.472, -9.72415, 24.533, 30
"",49.3406, 102.77, 24.0008, 30
"",-105.348, 39.2963, 30.4927, 30
"",40.2573, 86.4519, -66.9153, 30
"",-79.1853, -80.1564, 29.6124, 30
"",-88.1313, -61.6577, -44.7599, 30
"",5.48687, -86.8779, -77.4234, 30
"",-36.9293, -104.522, 35.828, 30
"",-73.6717, -75.4708, 49.4862, 30
"",-95.3017, -39.5543, 54.086, 30
