"","V5","V6","V7","Num"
"",-23.5685, 112.834, -16.8881, 34
"",8.65161, 75.6819, -88.1456, 34
"",-9.79292, 106.283, -46.6934, 34
"",94.8495, 63.0781, -24.4331, 34
"",-108.374, 42.3415, -5.87411, 34
"",-80.3555, 33.566, -77.3859, 34
"",8.17659, -101.506, -56.5853, 34
"",47.041, 5.27144, -106.45, 34
"",-15.0637, -7.91868, -115.25, 34
"",-43.1514, -27.4788, -104.667, 34
"",43.1023, -98.6464, -44.5346, 34
"",-97.0481, 19.5597, -61.4112, 34
"",-111.696, 2.77539, -32.9915, 34
"",-44.6074, -96.5114, 47.6233, 34
"",-103.04, 41.2735, -35.3766, 34
"",-7.7312, 58.7101, -100.327, 34
"",-104.222, -37.9907, 35.5898, 34
"",-13.4082, -112.02, -29.0511, 34
"",-75.1326, -88.8983, -4.9444, 34
"",4.82397, -0.665953, -116.398, 34
"",-3.36179, 116.445, -1.24502, 34
"",23.9847, -60.6144, -96.555, 34
"",60.7111, -60.464, -78.9336, 34
"",2.89495, -116.219, -7.54511, 34
"",19.3344, -39.0337, -108.05, 34
"",-20.2119, -113.346, 17.7904, 34
"",-107.261, -38.631, -23.978, 34
"",100.656, -46.0195, -36.3694, 34
"",36.6759, 98.9936, -49.2685, 34
"",-62.2521, 73.7846, -65.2131, 34
"",-34.4803, -111.28, -0.387487, 34
"",61.8613, 82.2356, 54.6144, 34
"",104.257, -26.7671, 44.5679, 34
"",20.3128, -18.2773, -113.25, 34
