"","V5","V6","V7","Num"
"",100.139, 20.4758, -55.9033, 54
"",-1.16426, -26.618, -113.412, 54
"",-21.8457, -83.3549, -78.4026, 54
"",64.8294, -94.5074, -20.9224, 54
"",-6.71137, -109.84, -38.24, 54
"",-45.8618, 106.078, -14.7089, 54
"",-1.94765, 2.74626, -116.451, 54
"",42.1894, -108.104, 10.2921, 54
"",89.1871, 13.9506, -73.643, 54
"",-35.0654, 104.736, -37.0541, 54
"",-19.0778, -9.83704, -114.506, 54
"",-99.3055, -2.80713, -60.8505, 54
"",-51.1088, -104.485, 6.5514, 54
"",42.1665, 56.3276, -92.8517, 54
"",115.05, -3.334, 18.0185, 54
"",-65.5418, 96.1618, -5.42476, 54
"",-106.565, -20.5995, 42.3296, 54
"",-94.4459, 66.8791, 13.394, 54
"",-87.3583, -66.4588, 39.0385, 54
"",63.1719, -93.0587, 30.3585, 54
"",19.2257, -113.844, -15.5604, 54
"",-79.0397, 72.4473, -45.5672, 54
"",107.849, 40.8164, -16.5803, 54
"",-4.50646, -115.262, -16.3271, 54
"",-33.4411, -92.1302, -62.9759, 54
"",-93.2969, -56.93, -40.3349, 54
"",-103.407, -45.4652, 28.4974, 54
"",40.9436, -108.435, -11.739, 54
"",79.0896, 82.9014, -21.0817, 54
"",-41.6369, 89.5327, -61.8266, 54
"",20.3814, -77.8261, -84.2612, 54
"",-27.2988, 112.283, 14.8168, 54
"",97.9055, -62.9726, -4.60702, 54
"",96.2643, -57.3637, 31.8565, 54
"",97.3725, -2.99951, -63.8894, 54
"",11.5692, 105.217, 48.6594, 54
"",34.8634, 15.1854, -110.119, 54
"",110.296, -29.0089, 23.7829, 54
"",-112.71, -1.50836, -29.4367, 54
"",110.92, 16.8723, 31.3742, 54
"",-31.211, -52.3563, -99.2821, 54
"",84.0058, 47.3116, -65.3979, 54
"",-69.1843, -93.5037, 6.54623, 54
"",33.1776, -90.0757, -66.0141, 54
"",-16.6247, 70.1006, -91.5521, 54
"",39.3161, -57.8052, -93.1936, 54
"",-52.7475, -95.6244, -40.57, 54
"",-96.8518, 57.8133, -29.1478, 54
"",30.8702, -106.813, 34.7883, 54
"",110.11, 20.4755, -32.074, 54
"",-44.4482, 41.7876, -99.2492, 54
"",98.9618, 32.2563, 52.3292, 54
"",40.8866, -75.2119, -79.0171, 54
"",101.889, -19.7698, 52.9158, 54
