"","V5","V6","V7","Num"
"",45.2065, 96.6364, -46.7976, 51
"",10.9236, 61.1057, -98.5851, 51
"",83.7534, -71.6195, -37.7924, 51
"",68.3822, 25.6791, -90.7563, 51
"",81.2043, 1.99379, -83.5113, 51
"",1.32737, 0.559308, -116.491, 51
"",15.8594, 109.109, 37.6306, 51
"",19.7905, -88.5227, -73.1048, 51
"",-3.6106, -19.9369, -114.725, 51
"",-5.53426, -40.3045, -109.166, 51
"",-59.4142, 41.0639, -91.4109, 51
"",-26.7419, 41.6246, -105.473, 51
"",-40.4512, -109.228, -2.25942, 51
"",10.5218, 33.7906, -110.994, 51
"",-84.2304, -5.30782, -80.3077, 51
"",111.74, -16.2247, 28.6901, 51
"",-59.3025, -99.7556, -10.2121, 51
"",-23.0602, 75.8513, -85.3642, 51
"",82.7342, 42.6834, -70.0388, 51
"",103.413, -43.6264, -31.2193, 51
"",-99.9609, -53.2236, -27.3372, 51
"",9.76994, 116.005, -4.4338, 51
"",108.288, 5.42802, 42.6209, 51
"",52.3339, -101.543, 22.8556, 51
"",-51.9511, 64.0987, -82.2477, 51
"",3.77054, 106.958, -46.0227, 51
"",77.2674, 76.2402, 42.3016, 51
"",-87.1198, -75.8151, -15.3119, 51
"",-94.955, 40.6763, -53.8631, 51
"",43.9588, 81.0053, -71.2601, 51
"",29.8168, -40.0363, -105.263, 51
"",71.8987, -28.2928, -87.1914, 51
"",-18.0777, 114.858, 7.28539, 51
"",4.52083, -105.039, 50.1857, 51
"",-91.6325, 66.7138, 26.926, 51
"",-75.8839, 41.9954, -77.7835, 51
"",112.79, 18.9587, 22.1639, 51
"",-73.9697, -48.3769, -75.8973, 51
"",116.304, 0.3116, -6.73916, 51
"",83.9153, -42.3793, -68.8074, 51
"",107.179, -45.3906, -4.96753, 51
"",-74.8141, 86.537, 22.0557, 51
"",-9.79698, 108.763, 40.5827, 51
"",-109.121, 3.98311, 40.6079, 51
"",-78.8317, -83.3362, 20.3197, 51
"",94.055, 64.6117, 23.4784, 51
"",-43.9922, -99.762, 41.0424, 51
"",-110.867, -34.4183, -9.80034, 51
"",-114.514, -3.16475, -21.1835, 51
"",68.1526, -80.7752, 49.0188, 51
"",-58.1095, -86.2132, 52.5624, 51
