"","V5","V6","V7","Num"
"",-36.7816, -99.7065, -47.7282, 45
"",-115.896, 9.29327, 7.355, 45
"",-90.5941, -50.0605, -53.4687, 45
"",99.3028, -43.8711, -42.2674, 45
"",26.1537, 30.983, -109.217, 45
"",-11.8703, 79.5323, -84.2969, 45
"",4.39684, 101.52, -56.9797, 45
"",89.2756, 63.4576, 39.6894, 45
"",66.2201, -95.3831, -9.44493, 45
"",57.929, 100.141, 13.7243, 45
"",-14.1832, -115.592, -3.09835, 45
"",-91.2526, -24.3869, -68.1945, 45
"",-6.65983, -75.9161, -88.1172, 45
"",-95.8943, -62.1223, -22.7455, 45
"",-84.0616, 80.2836, 7.77386, 45
"",111.257, -34.0671, -5.79688, 45
"",1.15446, -3.12397, -116.452, 45
"",-73.8504, 86.7793, -24.2433, 45
"",103.265, 51.6952, -15.3695, 45
"",-72.8365, 57.1774, -70.6954, 45
"",-88.3774, 32.9886, -68.3625, 45
"",15.1718, 77.6163, -85.544, 45
"",57.4182, -69.5124, -73.7796, 45
"",65.2275, 75.701, -59.8915, 45
"",-34.9561, 104.756, 37.1015, 45
"",30.6912, 103.903, 42.8317, 45
"",28.3417, 112.918, 4.31112, 45
"",72.2964, -83.3513, 37.3905, 45
"",22.197, -21.2023, -112.383, 45
"",-53.0284, 90.0476, 51.4943, 45
"",101.044, 57.4695, 7.71686, 45
"",-100.517, 48.0167, 34.1011, 45
"",-70.2613, -87.9769, 29.9276, 45
"",-109.567, 38.9461, 7.10196, 45
"",113.11, -22.0661, 17.0691, 45
"",63.1481, 41.5074, -88.6663, 45
"",-58.7709, -21.9747, -98.1598, 45
"",40.5994, -65.145, -87.636, 45
"",-41.1405, 108.884, -4.90424, 45
"",-59.0293, -81.0158, -59.3653, 45
"",-25.8016, 48.9637, -102.514, 45
"",-67.0189, -81.2613, 49.7727, 45
"",78.0992, 2.31703, -86.4141, 45
"",62.9463, -79.525, 57.3218, 45
"",96.3088, -30.1712, -58.1942, 45
