"","V5","V6","V7","Num"
"",12.1583, -19.12, -114.275, 55
"",-63.3937, -47.5841, -85.377, 55
"",-21.2921, -97.7861, -59.6387, 55
"",-30.3711, -107.981, -31.463, 55
"",-12.0959, -115.861, -1.46606, 55
"",-2.54298, 5.71341, -116.332, 55
"",60.6839, -91.9824, 37.8014, 55
"",91.6329, -52.9592, 48.6928, 55
"",32.8438, -111.68, 4.59718, 55
"",-47.4274, -102.876, 27.1935, 55
"",-115.141, 17.1529, 4.54769, 55
"",20.9627, -57.9595, -98.8611, 55
"",116.212, -7.87336, -2.24027, 55
"",13.3379, 19.5736, -114.067, 55
"",-100.718, -8.0378, -57.9956, 55
"",114.658, -8.28721, 18.8986, 55
"",-8.35404, 26.8673, -113.051, 55
"",31.6125, -84.5259, -73.6769, 55
"",17.0953, 94.2512, -66.3077, 55
"",59.7221, -43.2834, -90.178, 55
"",-90.6859, 70.9343, -17.7943, 55
"",-18.3658, 95.2201, -64.5607, 55
"",11.4201, -110.377, 35.4777, 55
"",37.5237, 109.894, 9.35609, 55
"",84.3818, -79.3728, -12.3253, 55
"",80.7508, -77.036, -33.4219, 55
"",-76.485, 83.3863, -27.7312, 55
"",-34.6893, 7.62912, -110.954, 55
"",-12.0558, -29.1247, -112.155, 55
"",112.09, 15.0265, -27.9708, 55
"",-105.814, 45.9257, 16.3272, 55
"",111.488, 31.7878, 11.4988, 55
"",55.2875, 80.5704, -63.4347, 55
"",-36.2979, 108.648, 21.2189, 55
"",-80.344, 30.1473, -78.7923, 55
"",-94.7896, 22.94, -63.7255, 55
"",-88.4176, -75.1338, 10.4632, 55
"",42.3826, 94.5286, -53.2945, 55
"",53.8434, -97.593, -33.8932, 55
"",103.976, -8.07081, -51.9241, 55
"",105.705, 21.7432, 43.8844, 55
"",88.0176, 75.7095, 9.6556, 55
"",-65.275, -22.4127, -93.8568, 55
"",97.4068, 23.2711, -59.5199, 55
"",-64.4247, -86.9358, 43.1726, 55
"",-108.758, 29.2472, 29.8093, 55
"",-56.2506, 90.323, 47.4328, 55
"",-34.6273, -67.1453, -88.6832, 55
"",-60.7859, 96.7414, -22.7693, 55
"",87.5836, 58.7867, 49.4519, 55
"",18.9563, 114.915, -2.72931, 55
"",19.9497, 108.604, 37.1394, 55
"",-97.4671, 46.182, 44.0413, 55
"",-80.1933, -64.2528, 54.8895, 55
"",-99.2724, -26.0597, 55.1192, 55
