"","V5","V6","V7","Num"
"",83.8235, -29.9887, -75.1435, 23
"",-58.3413, 97.6474, -25.1698, 23
"",-115.372, -2.00922, -16.05, 23
"",-72.0425, 91.3156, 6.60136, 23
"",2.50628, 37.9234, -110.126, 23
"",-11.5116, 115.769, -6.10842, 23
"",-79.0593, 79.6791, -31.1948, 23
"",-42.7908, 73.6711, -79.4592, 23
"",84.9883, 57.968, 54.6713, 23
"",109.672, -39.2096, -2.64139, 23
"",-103.433, 7.64212, 53.0603, 23
"",-92.177, -70.7498, 8.37415, 23
"",16.2078, -16.8896, -114.124, 23
"",84.1741, 52.1326, -61.3935, 23
"",-34.8885, 110.987, 6.08586, 23
"",92.0267, 66.8755, -25.1198, 23
"",-37.1849, -54.612, -95.9534, 23
"",-60.678, -99.2968, -5.5299, 23
"",-31.2801, 101.533, -47.8004, 23
"",-73.233, 39.1201, -81.7239, 23
"",37.2042, 62.9524, -90.6923, 23
"",104.433, 40.695, 31.7786, 23
"",93.419, 38.7712, 57.8095, 23
