"","V5","V6","V7","Num"
"",-96.3181, 64.8366, -9.55428, 20
"",-38.9772, 71.0043, -83.7342, 20
"",-67.9929, 55.6896, -76.4714, 20
"",-96.8368, 53.5744, 36.3959, 20
"",-8.02869, 113.163, -26.4954, 20
"",96.5103, -47.1269, -45.1337, 20
"",-110.26, 12.8279, -35.3613, 20
"",26.6408, -111.563, 20.4027, 20
"",-112.268, 1.54382, 31.0764, 20
"",26.9074, 96.2199, -59.9163, 20
"",-74.7315, -70.2592, -55.2367, 20
"",-66.2048, 77.4254, -56.5197, 20
"",-29.7833, 110.708, -20.7091, 20
"",10.7836, 80.6566, -83.3696, 20
"",102.688, -24.4754, -49.279, 20
"",54.342, 94.3883, -41.3527, 20
"",-99.2159, -39.2933, -46.7384, 20
"",-41.3912, 39.819, -101.358, 20
"",-60.5092, -96.6951, 23.6844, 20
"",-108.072, 43.3454, 3.71919, 20
