"","V5","V6","V7","Num"
"",4.67247, 42.2804, -108.456, 15
"",-59.3875, 66.686, -74.8222, 15
"",41.5831, 9.04109, -108.45, 15
"",38.3823, -99.8051, -46.2384, 15
"",53.4475, -93.899, 43.5729, 15
"",4.92971, -116.189, -6.92834, 15
"",10.7639, -98.3053, -61.583, 15
"",-57.3386, -97.9213, 26.3812, 15
"",1.58185, 13.9259, -115.654, 15
"",-18.3892, 104.74, -47.5773, 15
"",0.0294705, 116.428, -4.08155, 15
"",-74.6919, -86.9535, 20.7956, 15
"",81.0379, 64.0145, 53.919, 15
"",-14.9608, -103.829, 50.6753, 15
"",-55.3438, -67.7847, -76.9061, 15
