"","V5","V6","V7","Num"
"",9.4546, -91.4131, -71.5996, 19
"",32.5991, 45.1577, -102.325, 19
"",63.6598, 11.9253, -96.8373, 19
"",-110.748, 28.5859, -22.1375, 19
"",-71.291, 86.7023, -31.1859, 19
"",44.3415, -52.9805, -93.8038, 19
"",94.2046, 43.8945, -52.6404, 19
"",72.2443, 81.3178, -41.7186, 19
"",33.3488, -15.8932, -110.488, 19
"",46.8577, 78.8096, -71.8724, 19
"",-34.9852, -47.5875, -100.418, 19
"",73.2734, -88.0902, -21.0566, 19
"",79.6384, -34.178, -77.8579, 19
"",-71.2477, 65.5758, -64.7752, 19
"",8.39587, -113.798, 23.492, 19
"",30.5137, -72.6652, -85.7959, 19
"",105.189, -16.6037, 47.2434, 19
"",34.5432, -105.432, -35.5399, 19
"",47.2613, -91.5406, 54.396, 19
