"","V5","V6","V7","Num"
"",-8.84425, -28.6405, -112.578, 19
"",-79.039, 72.8954, -44.8482, 19
"",73.6275, -66.1189, -61.4779, 19
"",73.4092, -2.92249, -90.4146, 19
"",-91.1576, -17.272, -70.4572, 19
"",37.6136, 106.316, -29.2283, 19
"",62.8056, -47.5197, -85.8463, 19
"",-2.62249, 52.8941, -103.767, 19
"",-79.0051, -79.4528, 31.9014, 19
"",58.8756, -96.199, 29.1832, 19
"",99.8715, 45.3683, -39.2385, 19
"",-114.674, -17.1226, -11.3532, 19
"",38.1341, -39.4824, -102.758, 19
"",113.219, 12.114, 24.6351, 19
"",-18.7854, -109.03, 36.4934, 19
"",6.11644, -113.713, 24.5819, 19
"",37.3916, -103.496, 38.2452, 19
"",58.0348, -86.7635, 51.7329, 19
"",96.0355, 41.2156, 51.485, 19
