"","V5","V6","V7","Num"
"",71.5544, -61.519, -68.3201, 22
"",13.0898, 59.0552, -99.566, 22
"",53.5021, 87.4084, -55.4034, 22
"",-6.55218, -7.85374, -116.05, 22
"",40.6481, 49.6325, -97.245, 22
"",86.2164, -28.8607, -72.8426, 22
"",-66.041, 95.4076, -10.4031, 22
"",-35.7677, 36.4102, -104.724, 22
"",1.25354, 81.7446, -82.997, 22
"",-103.424, -53.6263, -0.0383562, 22
"",-109.92, 38.2121, -5.43822, 22
"",-49.8529, -83.261, -64.4558, 22
"",-19.892, 76.1926, -85.856, 22
"",-65.4127, 90.2452, -33.9004, 22
"",-38.1545, 109.632, 9.86385, 22
"",-98.8246, 56.0989, 25.6683, 22
"",94.4996, 63.5784, 24.492, 22
"",-106.435, 36.7634, 29.8702, 22
"",-33.0722, 108.015, -28.4805, 22
"",-63.8705, -91.2996, 34.0175, 22
"",-13.2582, -104.408, 49.9554, 22
"",100.347, -19.4521, 55.8966, 22
