"","V5","V6","V7","Num"
"",-95.5803, -38.9225, -54.0526, 37
"",-2.2904, 51.98, -104.236, 37
"",13.042, 84.9365, -78.6635, 37
"",18.8691, -5.53356, -114.829, 37
"",-58.9029, -22.0101, -98.0727, 37
"",94.2208, 58.2592, 36.0632, 37
"",-112.908, -28.353, -4.48387, 37
"",-38.0437, -98.2566, -49.7048, 37
"",-33.1027, 41.5277, -103.691, 37
"",59.0761, 1.98734, -100.391, 37
"",-105.876, 46.1911, -15.1289, 37
"",60.4753, -21.76, -97.1673, 37
"",-29.2182, 107.347, 34.5712, 37
"",35.3766, 93.7766, -59.386, 37
"",75.7566, -39.142, -79.3794, 37
"",94.6172, 11.842, -66.9298, 37
"",81.1601, -66.086, -51.1657, 37
"",57.2351, -49.6099, -88.517, 37
"",-18.6829, 113.687, 17.2739, 37
"",102.439, -33.7684, 44.0249, 37
"",-70.0616, -58.3959, -72.4813, 37
"",104.054, 30.4749, 42.6191, 37
"",77.5626, 77.0534, -40.2376, 37
"",-71.2345, -75.1632, -53.3704, 37
"",-22.2131, 74.3824, -86.8682, 37
"",-28.7925, -1.34167, -112.878, 37
"",-104.023, 46.9192, 23.4546, 37
"",100.504, 42.9503, -40.3284, 37
"",27.0564, -64.7895, -92.9652, 37
"",49.4582, -78.916, -69.9886, 37
"",74.2007, 58.8881, -67.8136, 37
"",-73.0933, 81.869, -39.0779, 37
"",-25.2149, 111.678, -21.5531, 37
"",-13.6913, -114.452, -16.8962, 37
"",-17.7736, -20.2057, -113.349, 37
"",-106.622, -2.82833, 46.8611, 37
"",34.9754, 103.383, 40.7541, 37
