"","V5","V6","V7","Num"
"",86.7694, 13.4641, -76.5639, 38
"",-53.7594, -11.4634, -102.717, 38
"",-78.5083, 84.6963, -15.3378, 38
"",31.3699, 111.14, 15.3675, 38
"",-104.666, -51.0992, 2.47386, 38
"",95.2185, 59.0749, -31.8724, 38
"",-41.0379, 51.7071, -95.9923, 38
"",77.221, 81.4997, 31.0961, 38
"",-55.4053, 35.7972, -96.0264, 38
"",83.4007, -81.2761, 3.28174, 38
"",31.4001, -0.628807, -112.187, 38
"",-27.1477, -110.968, 22.8331, 38
"",-57.4217, 93.3916, 39.4083, 38
"",93.0811, 65.7336, 24.2335, 38
"",107.403, -34.6662, -28.8963, 38
"",5.00688, -116.349, -3.18963, 38
"",-17.6727, 32.9599, -110.334, 38
"",-114.085, 15.7133, 17.6064, 38
"",86.0962, -71.178, -33.0664, 38
"",-97.0438, -55.2299, -33.2327, 38
"",81.7217, 71.1475, -42.8, 38
"",87.0487, -37.8022, -67.5705, 38
"",-94.8951, -47.4046, 48.1661, 38
"",-85.703, 22.2689, -75.7056, 38
"",114.6, -17.4938, 11.5395, 38
"",-74.3828, -84.4775, -30.0499, 38
"",75.7488, -8.15407, -88.1356, 38
"",105.602, 4.62158, -48.9816, 38
"",103.592, -35.0413, 40.1629, 38
"",104.788, 25.3671, -44.1389, 38
"",-111.739, 29.0054, -15.6604, 38
"",-56.4823, -100.314, 17.8656, 38
"",-107.572, -7.44127, 44.1043, 38
"",88.8679, 54.6174, 51.8815, 38
"",-33.7378, -111.508, 0.0449126, 38
"",-34.5519, 16.8722, -109.972, 38
"",-71.9415, -71.4438, 57.3799, 38
"",3.78222, 101.758, 56.598, 38
