"","V5","V6","V7","Num"
"",-46.7713, -42.6186, -97.818, 29
"",52.6826, 103.299, 11.2289, 29
"",-82.2198, -82.5276, -1.15769, 29
"",11.3161, 92.3905, -70.0585, 29
"",-13.3772, 10.5843, -115.244, 29
"",-71.225, -44.8854, -80.5267, 29
"",49.6515, -104.223, -15.6402, 29
"",61.148, -93.2904, -33.6167, 29
"",-63.5877, -75.7148, -61.6127, 29
"",-60.6878, 97.5986, 19.0726, 29
"",95.7423, 63.5843, -19.0444, 29
"",115.187, 2.11742, 17.313, 29
"",10.3788, 76.6745, -87.095, 29
"",68.6849, 93.9821, -4.69008, 29
"",-25.1265, 73.4307, -86.8841, 29
"",26.8511, 99.5971, -54.145, 29
"",26.6858, -112.846, -11.2155, 29
"",-109.248, -37.2112, 15.8887, 29
"",51.5083, 48.2875, -92.6685, 29
"",93.3043, -44.6349, -53.6124, 29
"",-11.5183, 114.531, 17.9511, 29
"",-108.413, -6.02204, 42.22, 29
"",-84.5591, 76.0729, 25.1977, 29
"",75.4351, -84.1195, 28.3852, 29
"",84.6172, 68.8622, 40.8677, 29
"",-103.414, 40.2565, -35.4583, 29
"",-78.2495, 47.3774, -72.1432, 29
"",27.8371, 100.223, 52.4669, 29
"",-90.1711, 46.172, 57.5288, 29
