"","V5","V6","V7","Num"
"",44.114, 92.8928, -54.7461, 30
"",0.919863, -116.001, -10.7341, 30
"",-85.6762, 16.1495, -77.2725, 30
"",-4.78241, 11.2606, -115.856, 30
"",25.8032, -90.1017, -69.1963, 30
"",-105.926, 40.0438, 27.3582, 30
"",73.5667, -7.38974, -90.031, 30
"",-12.8469, -115.655, 5.57444, 30
"",-44.3552, -44.1008, -98.2852, 30
"",49.8924, 105.273, -0.794744, 30
"",-115.254, 16.934, 1.40625, 30
"",81.8329, -76.2862, 32.4968, 30
"",-2.95934, -96.7208, -64.8735, 30
"",21.4544, 7.38542, -114.269, 30
"",-112.76, -27.2358, -10.7542, 30
"",114.961, 4.23313, 18.3936, 30
"",-13.9447, 39.4121, -108.74, 30
"",-107.013, 38.3883, -25.4324, 30
"",-86.2526, -22.7397, -74.9376, 30
"",-42.4233, 107.816, -12.1718, 30
"",-27.3126, -66.285, -91.829, 30
"",61.5764, 91.6835, -37.0775, 30
"",-44.7072, 57.8445, -90.7057, 30
"",-69.7402, 14.2783, -92.2208, 30
"",88.5984, 69.1676, 30.6337, 30
"",55.7003, -101.434, 13.4504, 30
"",74.1226, -47.3818, -76.3745, 30
"",105.568, 19.1178, -45.4119, 30
"",-39.7218, -81.1549, -73.5412, 30
"",50.2591, -89.0939, 55.7543, 30
