"","V5","V6","V7","Num"
"",45.4754, 107.075, -6.2594, 53
"",72.374, 75.7995, -50.8792, 53
"",-27.8087, 94.7112, -61.8765, 53
"",-64.5415, 92.2922, 29.8126, 53
"",-79.3194, -34.9405, -77.845, 53
"",11.3297, 89.156, -74.1289, 53
"",-50.6873, -15.6469, -103.722, 53
"",-98.387, -36.6492, 50.4885, 53
"",-99.5136, 58.3325, 16.3282, 53
"",0.12528, -0.182233, -116.5, 53
"",68.0778, 38.3454, -86.4135, 53
"",-66.6127, 29.3513, -90.9588, 53
"",20.8707, 74.0236, -87.5052, 53
"",41.0255, -51.3387, -96.1951, 53
"",36.0438, -90.0619, -64.5132, 53
"",26.7715, 111.761, 19.1067, 53
"",-16.2262, -45.0937, -106.186, 53
"",106.814, 44.2962, 14.1731, 53
"",-96.9834, 2.69794, -64.4918, 53
"",42.305, 83.8253, -68.9627, 53
"",30.5046, -102.868, 45.3849, 53
"",63.3841, -96.7875, -13.6706, 53
"",-75.7004, -82.9315, -31.0494, 53
"",-37.094, 30.9691, -106.006, 53
"",74.5568, -89.2894, 6.39843, 53
"",-115.883, -11.3961, 3.6892, 53
"",-108.966, 40.6677, 6.69424, 53
"",47.8661, -106.199, 1.66882, 53
"",-82.1584, 36.1822, -74.2502, 53
"",8.39305, -108.482, -41.636, 53
"",10.5311, 108.996, 39.7647, 53
"",-78.8533, 73.5528, -44.0953, 53
"",65.3422, -87.9666, -39.5541, 53
"",113.678, 23.5526, 9.74096, 53
"",59.0528, -17.4989, -98.8879, 53
"",-92.3139, -66.4475, 25.2018, 53
"",-44.5315, -99.8958, -40.1252, 53
"",17.8939, -87.3168, -75.0189, 53
"",-49.693, 105.345, 2.30604, 53
"",-67.9368, -83.6373, 44.2904, 53
"",94.9534, -1.06414, -67.4906, 53
"",-38.4016, 106.708, 26.6629, 53
"",-50.5138, -78.2931, -69.9342, 53
"",-106.702, 13.9988, -44.6206, 53
"",-83.146, -67.0143, 46.5627, 53
"",116.241, 2.472, 7.35261, 53
"",-29.0001, 76.8273, -82.6366, 53
"",95.9693, 61.0109, 25.2946, 53
"",76.4285, 74.8371, 46.1556, 53
"",-109.773, 23.6436, 31.0354, 53
"",-77.2182, 77.6579, 39.7346, 53
"",101.088, 16.4127, 55.5347, 53
"",-87.1454, 60.2076, 48.5074, 53
