"","V5","V6","V7","Num"
"",86.3944, -44.9206, -63.9562, 55
"",-12.0697, 51.1976, -103.949, 55
"",-72.5043, 84.8655, -33.365, 55
"",-14.8781, -9.89503, -115.122, 55
"",52.6765, 103.337, -10.9071, 55
"",23.1469, 44.4284, -105.179, 55
"",48.4657, -96.5708, -43.5592, 55
"",81.5973, -71.7417, -42.0389, 55
"",19.0672, -101.518, -53.8772, 55
"",57.6276, 68.9556, -74.138, 55
"",12.9323, -40.8724, -108.326, 55
"",-79.388, 53.1385, -66.679, 55
"",28.135, -4.3649, -112.967, 55
"",110.615, -33.1601, 15.3916, 55
"",-11.5278, 31.3823, -111.6, 55
"",56.492, 33.7606, -96.1307, 55
"",-47.9386, 83.4952, -65.5948, 55
"",42.8839, -84.2712, -68.0558, 55
"",23.1573, -64.1572, -94.4449, 55
"",-48.7244, -41.811, -97.2112, 55
"",105.365, 40.7263, 28.4917, 55
"",97.3541, -57.9926, 27.0424, 55
"",-107.921, 24.8805, 36.1433, 55
"",52.8681, -38.9859, -96.2149, 55
"",-96.5049, 19.179, -62.3797, 55
"",-45.5031, -80.5595, -70.7947, 55
"",-107.085, 5.73649, -45.5201, 55
"",-27.9785, -72.6742, -86.6482, 55
"",-100.906, -50.4142, -29.1322, 55
"",73.9696, 30.5433, -84.6632, 55
"",38.256, 107.672, 22.7035, 55
"",-82.7865, 81.9662, 0.424272, 55
"",-27.5505, -103.286, -46.316, 55
"",-56.5662, 90.5658, 46.5871, 55
"",-72.2101, -91.3671, -3.16257, 55
"",-69.9218, -60.3708, -70.9828, 55
"",-112.496, -24.3794, 17.9611, 55
"",61.1443, 91.4706, 38.2983, 55
"",105.671, -46.7066, -14.9826, 55
"",24.5718, -107.942, 36.2891, 55
"",91.4785, 32.7152, -64.2935, 55
"",-108.003, 26.5392, -34.6886, 55
"",55.7613, -94.8737, 38.2348, 55
"",-60.5714, 0.757643, -99.5127, 55
"",-13.4247, -37.4421, -109.499, 55
"",-28.9681, 103.067, 45.9385, 55
"",-95.846, 59.3951, -29.2921, 55
"",76.5012, -87.8531, 1.2804, 55
"",109.933, 2.38817, 38.487, 55
"",-0.397468, -94.5727, -68.0302, 55
"",-101.225, -10.4278, 56.7189, 55
"",-32.009, -99.7504, 50.9659, 55
"",91.1667, 3.87697, -72.4282, 55
"",-21.1066, 90.152, -70.7062, 55
"",-27.8007, -113.131, 0.803783, 55
