,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
109,1,8,20,5000,0.0008,0.0007836863372548995
110,1,8,20,15000,0.0004,0.0005542608310173108
111,1,8,20,50000,0.0014,0.0010364082655015833
112,1,8,20,150000,0.0016,0.0011078560830721652
113,1,8,20,500000,0.002,0.001238372609516215
114,1,8,60,1500,0.0898,0.007924605528807097
115,1,8,60,5000,0.0104,0.0028120146708009897
116,1,8,60,15000,0.002,0.001238372609516215
117,1,8,60,50000,0.0004,0.0005542608310173108
118,1,8,60,150000,0.0014,0.0010364082655015833
119,1,8,60,500000,0.0032,0.0015654891897422991
120,1,8,200,1500,0.371,0.013390085394798645
121,1,8,200,5000,0.094,0.008089079334510202
122,1,8,200,15000,0.0158,0.00345653766002918
123,1,8,200,50000,0.0022,0.001298686001772561
124,1,8,200,150000,0.0004,0.0005542608310173108
125,1,8,200,500000,0.0022,0.001298686001772561
126,1,8,600,1500,0.5232,0.01384436562082929
127,1,8,600,5000,0.3304,0.013037634777397318
128,1,8,600,15000,0.1016,0.008374382526538895
129,1,8,600,50000,0.0168,0.0035624325064764384
130,1,8,600,150000,0.0054,0.002031384697392397
131,1,8,600,500000,0.0022,0.001298686001772561
132,1,8,2000,1500,0.5906,0.013629869876297426
133,1,8,2000,5000,0.5148,0.01385322010173808
134,1,8,2000,15000,0.3512,0.01323133737833028
135,1,8,2000,50000,0.103,0.008425310268470829
136,1,8,2000,150000,0.0212,0.00399287744104424
137,1,8,2000,500000,0.004,0.0017495676265866374
138,1,8,6000,1500,0.6102,0.013518487015461456
139,1,8,6000,5000,0.5834,0.013665134618466078
140,1,8,6000,15000,0.5228,0.013844876183310562
141,1,8,6000,50000,0.3338,0.013071232799518185
142,1,8,6000,150000,0.1012,0.008359741671798237
143,1,8,6000,500000,0.0206,0.003937175094506212
144,1,10,20,1500,0.0054,0.002031384697392397
145,1,10,20,5000,0.0002,0.00039196079803980395
146,1,10,20,15000,0.0002,0.00039196079803980395
147,1,10,20,50000,0.0,0.0
148,1,10,20,150000,0.0002,0.00039196079803980395
149,1,10,20,500000,0.001,0.0008761002682341788
150,1,10,60,1500,0.0628,0.006724608899497427
151,1,10,60,5000,0.0038,0.001705438787878357
152,1,10,60,15000,0.0004,0.0005542608310173108
153,1,10,60,50000,0.0,0.0
154,1,10,60,150000,0.0004,0.0005542608310173108
155,1,10,60,500000,0.0014,0.0010364082655015833
156,1,10,200,1500,0.293,0.012615793923491301
157,1,10,200,5000,0.0558,0.006362388239898599
158,1,10,200,15000,0.0068,0.0022779483934452943
159,1,10,200,50000,0.001,0.0008761002682341788
160,1,10,200,150000,0.0,0.0
161,1,10,200,500000,0.0004,0.0005542608310173108
162,1,10,600,1500,0.4572,0.013808423541128797
163,1,10,600,5000,0.248,0.011970321913799977
164,1,10,600,15000,0.0646,0.006813747112184308
165,1,10,600,50000,0.0064,0.0022103795178204126
166,1,10,600,150000,0.0012,0.0009596236862437275
167,1,10,600,500000,0.0004,0.0005542608310173108
168,1,10,2000,1500,0.5166,0.013851652671822232
169,1,10,2000,5000,0.4518,0.013794745675190971
170,1,10,2000,15000,0.2762,0.012393449334999517
171,1,10,2000,50000,0.0602,0.006593060107962008
172,1,10,2000,150000,0.0096,0.002702788121329528
173,1,10,2000,500000,0.0016,0.0011078560830721652
174,1,10,6000,1500,0.5446,0.013804046094852045
175,1,10,6000,5000,0.5148,0.01385322010173808
176,1,10,6000,15000,0.4508,0.013792032985575403
177,1,10,6000,50000,0.2586,0.01213700749990705
178,1,10,6000,150000,0.062,0.006684490849720717
179,1,10,6000,500000,0.0056,0.002068452920614825
180,1,12,20,1500,0.0026,0.0014115375151939815
181,1,12,20,5000,0.0002,0.00039196079803980395
182,1,12,20,15000,0.0002,0.00039196079803980395
183,1,12,20,50000,0.0002,0.00039196079803980395
184,1,12,20,150000,0.0,0.0
185,1,12,20,500000,0.0002,0.00039196079803980395
186,1,12,60,1500,0.0364,0.005191228634225235
187,1,12,60,5000,0.0018,0.001174941123290865
