"","V5","V6","V7","Num"
"",19.2424, -107.923, -39.4294, 15
"",56.154, 93.5702, -40.7872, 15
"",33.3444, 111.515, 4.98411, 15
"",-3.32163, 37.3714, -110.293, 15
"",103.221, -42.3968, -33.4703, 15
"",-106.975, -38.985, 24.6735, 15
"",-107.971, 10.8292, -42.3935, 15
"",-64.7645, -96.6623, 5.84928, 15
"",22.0975, -74.5185, -86.781, 15
"",-4.92993, 116.37, -2.42162, 15
"",-62.5608, 98.031, 6.95049, 15
"",50.1148, 24.3737, -102.307, 15
"",112.231, 30.4518, -7.01585, 15
"",-31.3429, 43.8311, -103.289, 15
"",49.0583, 77.5155, -71.8114, 15
