"","V5","V6","V7","Num"
"",-74.1887, -60.8214, -66.0987, 54
"",-109.316, 36.5628, 16.8918, 54
"",-111.433, -13.2901, 31.277, 54
"",-1.02574, 40.0248, -109.404, 54
"",-1.02783, 13.9545, -115.657, 54
"",-26.8397, 10.5041, -112.878, 54
"",69.5334, -79.4354, 49.2685, 54
"",-99.6315, 31.7732, -51.3446, 54
"",6.9896, 108.402, 42.1001, 54
"",-97.9075, 7.13627, -62.7331, 54
"",61.5377, 24.2854, -95.8936, 54
"",4.86644, -96.6526, -64.8602, 54
"",6.06101, -114.87, 18.4472, 54
"",57.1514, 86.4807, -53.1701, 54
"",47.6476, -83.4255, -65.8949, 54
"",3.41522, 108.317, -42.7562, 54
"",5.26282, 58.766, -100.455, 54
"",52.9159, -97.5662, -35.3978, 54
"",84.9464, 72.0505, 34.1333, 54
"",-8.68066, -115.091, -15.8414, 54
"",113.589, -0.718682, 25.8723, 54
"",61.6986, 97.6115, 15.4123, 54
"",-71.1574, 89.8261, 20.9795, 54
"",-93.5783, -67.7344, -15.08, 54
"",-69.4015, 83.875, -41.4808, 54
"",-21.1421, 110.918, -28.6778, 54
"",-94.1507, -66.0158, 18.7032, 54
"",107.973, -29.5941, -32.2223, 54
"",36.7762, -108.152, -22.8694, 54
"",-107.51, 44.73, -3.61392, 54
"",109.511, 35.4695, -17.9303, 54
"",106.156, 43.1504, 21.0022, 54
"",-22.8279, -57.2229, -98.8771, 54
"",88.1604, 52.2406, -55.4158, 54
"",74.1568, -83.9966, -31.8999, 54
"",-73.082, -30.6908, -85.3777, 54
"",91.8711, -31.458, -64.3611, 54
"",7.72523, -32.4327, -111.627, 54
"",110.93, -21.8928, 28.0616, 54
"",26.2363, -111.008, 23.6892, 54
"",-41.1008, -83.6017, -69.9552, 54
"",101.66, 54.8876, -14.9935, 54
"",-53.2795, -91.4926, 48.607, 54
"",-32.039, -111.805, -6.74062, 54
"",-107.993, 7.36647, 43.0764, 54
"",43.0307, -97.4913, 47.0749, 54
"",-60.7609, 78.8233, -60.5578, 54
"",-81.3257, -68.0899, 48.1886, 54
"",-103.414, -18.3631, 50.4038, 54
"",111.896, -31.4093, -8.06062, 54
"",52.9712, 98.7541, -31.8422, 54
"",91.1931, -68.4559, -23.8717, 54
"",75.0687, 68.7584, 56.6501, 54
"",-41.2002, -10.6582, -108.449, 54
