"","V5","V6","V7","Num"
"",-96.8489, -61.5379, 20.1401, 44
"",-47.7177, -28.2169, -102.465, 44
"",-3.2152, -96.6557, -64.9584, 44
"",-91.5314, 65.7588, 29.4962, 44
"",85.4911, -23.8296, -75.4696, 44
"",29.6491, -25.0434, -109.845, 44
"",-30.7589, 33.2843, -107.323, 44
"",17.1847, 30.8915, -111.007, 44
"",25.2182, 108.076, 35.4395, 44
"",8.20565, -116, -6.99304, 44
"",-20.758, 111.64, 26.0338, 44
"",-56.951, 62.8909, -79.8347, 44
"",64.8767, 91.8504, 30.443, 44
"",-97.6027, -58.3816, -25.2498, 44
"",-110.779, 11.5519, -34.1599, 44
"",22.588, -1.31599, -114.282, 44
"",84.9693, -79.7021, -0.191338, 44
"",49.8516, -74.5823, -74.3273, 44
"",-74.7996, -51.6743, -72.8494, 44
"",-108.373, 30.4771, 29.9783, 44
"",106.918, -30.5415, 34.7559, 44
"",31.5855, -106.664, -34.6035, 44
"",33.6332, -111.091, -9.99363, 44
"",-106.526, -30.6196, -35.8743, 44
"",-83.9075, -62.4906, -51.2514, 44
"",-92.4238, -2.60803, -70.8751, 44
"",3.93634, 115.383, 15.6062, 44
"",-57.0405, 92.7607, 41.4015, 44
"",65.8485, 52.9712, -80.189, 44
"",112.184, 13.3069, -28.4573, 44
"",42.2805, -100.959, 39.8981, 44
"",50.3008, 100.581, -30.4219, 44
"",11.201, 102.015, 55.1343, 44
"",-22.9174, -114.182, -3.08819, 44
"",-108.138, -43.3274, -1.03252, 44
"",-72.6788, 90.351, 11.2574, 44
"",-64.3132, -95.9921, -14.8857, 44
"",-101.421, 26.8267, -50.66, 44
"",-31.7436, 97.7786, 54.8082, 44
"",-86.7893, -23.0138, -74.231, 44
"",-48.7374, -63.629, -84.5475, 44
"",-0.0559235, -101.774, 56.694, 44
"",-87.7036, 31.7516, -69.8009, 44
"",-80.1185, -61.8322, 57.7066, 44
