"","V5","V6","V7","Num"
"",50.1153, 87.077, -58.9771, 19
"",24.1396, -6.57765, -113.782, 19
"",46.1815, 27.4642, -103.369, 19
"",85.9494, 19.4956, -76.1897, 19
"",-25.5318, 27.1241, -110.384, 19
"",15.6921, -95.3459, -65.0781, 19
"",81.9205, 82.8265, -1.02679, 19
"",-108.661, -34.0015, -24.6779, 19
"",-98.5953, -21.8989, -58.0659, 19
"",-16.1086, 88.9082, -73.5398, 19
"",-60.5603, 99.34, -6.02212, 19
"",-65.2557, -44.5755, -85.5977, 19
"",115.642, -6.5949, 12.4754, 19
"",9.46574, 86.5931, -77.3582, 19
"",-14.5852, -114.254, -17.4783, 19
"",-89.1408, 68.1965, 31.2314, 19
"",-72.391, 86.0181, -30.5398, 19
"",-86.4127, -59.5672, 50.5652, 19
"",-112.008, 18.8565, -25.9009, 19
