"","V5","V6","V7","Num"
"",-110.122, 37.5173, 6.15769, 14
"",51.7103, 60.2762, -85.2354, 14
"",-9.28958, 0.59626, -116.128, 14
"",-93.9242, 0.317094, -68.9231, 14
"",-49.9797, 3.18347, -105.186, 14
"",72.3771, 84.4825, -34.5907, 14
"",-57.2936, -91.8976, -42.948, 14
"",87.4412, -73.0084, -24.4141, 14
"",38.3473, -100.184, 45.4416, 14
"",109.166, 33.7473, -22.7194, 14
"",-34.8217, 85.8175, -70.6757, 14
"",79.4919, -0.946686, -85.161, 14
"",48.2346, 101.766, 29.8215, 14
"",-21.0034, -99.5676, 56.7222, 14
