"","V5","V6","V7","Num"
"",-56.8312, -76.6673, -66.8176, 20
"",28.0152, -108.895, -30.4832, 20
"",4.00103, -18.3487, -114.976, 20
"",95.6471, 56.6116, 34.9143, 20
"",-51.7786, 12.9159, -103.559, 20
"",-44.2537, -35.0784, -101.899, 20
"",-76.1959, 27.626, -83.6854, 20
"",-56.0562, -90.4861, -47.3521, 20
"",66.31, -47.6484, -83.0955, 20
"",-75.7084, -30.4175, -83.1581, 20
"",-102.671, 8.42433, -54.405, 20
"",-13.4683, 42.0946, -107.791, 20
"",-9.8447, -109.944, -37.2521, 20
"",-36.2052, 104.471, 36.7048, 20
"",31.2531, 21.2649, -110.197, 20
"",-82.1787, 78.7278, 24.9168, 20
"",17.1155, 85.9689, -76.7376, 20
"",-94.5684, 40.9941, 54.3006, 20
"",113.158, -4.74747, -27.2931, 20
"",89.5768, 48.6489, 56.4051, 20
