"","V5","V6","V7","Num"
"",6.54267, -23.1356, -113.992, 17
"",-33.7991, -20.514, -109.586, 17
"",22.9222, 108.026, -37.1107, 17
"",-91.9011, 40.2273, -59.2301, 17
"",40.2675, 61.8623, -90.1323, 17
"",106.195, 12.6145, -46.2137, 17
"",108.073, 41.8439, -11.8951, 17
"",106.71, 25.879, 38.9292, 17
"",-10.5649, 115.221, -13.592, 17
"",79.0539, 50.1883, -69.31, 17
"",-114.411, -20.9798, -6.49413, 17
"",86.9228, 69.3778, 34.6901, 17
"",-86.5588, -74.8735, 21.7666, 17
"",73.4235, -76.2122, 48.7128, 17
"",-103.949, 45.2434, -26.832, 17
"",-48.6193, -98.4221, -39.0065, 17
"",69.0007, -85.6562, -38.3949, 17
