"","V5","V6","V7","Num"
"",-9.363, 62.191, -98.0656, 17
"",46.5696, 103.229, -27.3368, 17
"",81.3709, -70.983, -43.7315, 17
"",-26.9062, 39.6357, -106.195, 17
"",-68.2492, 41.1736, -84.9649, 17
"",-70.3548, 83.3602, -40.9089, 17
"",-37.2976, -107.246, -26.0642, 17
"",90.6787, 72.7988, 7.06857, 17
"",-20.7926, -90.0294, -70.9551, 17
"",111.43, -29.7377, 16.4686, 17
"",111.177, 4.31375, 34.5439, 17
"",56.293, -92.2131, 43.5901, 17
"",-51.1991, 96.6482, 40.1252, 17
"",-90.3636, -69.2367, 24.7576, 17
"",97.1836, -48.0541, 42.6427, 17
"",-112.552, 28.491, 9.61891, 17
"",-96.5793, 31.9974, 56.7525, 17
